f_Hz,omega_rad_s,ReZ_ohm,ImZ_ohm,absZ_ohm,phase_deg,I_amp_A,V_rms_V,I_rms_A,S_VA,P_W,Q_var,pf
2286.22888022967,14364.7997091087,50.0,-66.74165496755994,83.39333611151923,-53.1610149922359,0.011991365816840953,0.7071067811865475,0.008479176084776802,0.0059956829084204764,0.0035948213538325425,-0.004798486529350165,0.5995682908420477
2295.0224013644543,14420.05103190115,50.0,-66.46387197432239,83.17118658417178,-53.04628041099802,0.012023394652281045,0.7071067811865475,0.008501823891509998,0.006011697326140522,0.0036140504741125103,-0.00480407576040306,0.6011697326140523
2303.8497450157074,14475.51486783213,50.0,-66.18706848150399,82.95015391290904,-52.93133956210817,0.012055432724692942,0.7071067811865475,0.008524478229768597,0.00602771636234647,0.003633336454489937,-0.004809597774593407,0.6027716362346471
2312.711041274957,14531.192034290812,50.0,-65.91124040975872,82.73023396771588,-52.81619327366844,0.012087479413997956,0.7071067811865475,0.008547138661090749,0.006043739706998977,0.0036526789645956077,-0.004815052027502594,0.6043739706998976
2321.606420734105,14587.083351810317,50.0,-65.6363836941156,82.511422630089,-52.700842382231905,0.012119534097517006,0.7071067811865475,0.008569804745175859,0.006059767048758502,0.0036720776685219333,-0.004820437976113981,0.6059767048758503
2330.5360144873475,14643.189644079774,50.0,-65.36249428391878,82.29371579297725,-52.58528773277251,0.012151596150010492,0.7071067811865475,0.008592476039912762,0.006075798075005245,0.0036915322248237447,-0.00482575507887888,0.6075798075005245
2339.499954133109,14699.511737956467,50.0,-65.08956814276803,82.07710936072276,-52.469530178653685,0.012183664943718654,0.7071067811865475,0.008615152101408275,0.006091832471859326,0.0037110422865199717,-0.004831002795782706,0.6091832471859328
2348.498371775981,14756.050463478025,50.0,-64.81760124845906,81.86159924900223,-52.353570581595754,0.01221573984840259,0.7071067811865475,0.008637832484016198,0.006107869924201294,0.003730607501096273,-0.00483618058841137,0.6107869924201296
2357.531400028668,14812.806653874646,50.0,-64.54658959292432,81.64718138476923,-52.237409811642166,0.012247820231385768,0.7071067811865475,0.008660516740366666,0.006123910115692883,0.0037502275105085626,-0.00484128792001781,0.6123910115692884
2366.5991720139436,14869.781145581384,50.0,-64.27652918217399,81.43385170619689,-52.12104874712449,0.012279905457596116,0.7071067811865475,0.008683204421395908,0.006139952728798057,0.0037699019511874717,-0.004846324255588724,0.6139952728798058
2375.7018213666115,14926.974778250475,50.0,-64.00741603623702,81.22160616262111,-52.004488274626226,0.01231199488960868,0.7071067811865475,0.008705895076376416,0.006155997444804339,0.003789630454043756,-0.004851289061911449,0.6155997444804341
2384.839482235474,14984.388394763702,50.0,-63.7392461891025,81.01044071448457,-51.88772928894537,0.012344087887688792,0.7071067811865475,0.00872858825294747,0.0061720439438443945,0.0038094126444746285,-0.0048561818076409665,0.6172043943844397
2394.012289285311,15042.02284124483,50.0,-63.47201568866133,80.80035133328116,-51.770772693055804,0.012376183809835815,0.7071067811865475,0.008751283497146066,0.006188091904917907,0.0038292481423710533,-0.004861001963367056,0.6188091904917907
2403.22037769886,15099.878967072053,50.0,-63.205720596647815,80.59133400150112,-51.653619398067384,0.012408282011827396,0.7071067811865475,0.008773980353438208,0.006204141005913697,0.0038491365621259837,-0.004865749001681528,0.6204141005913699
2412.4638831788193,15157.957624890567,50.0,-62.940356988581584,80.38338471257659,-51.536270323184894,0.012440381847264296,0.7071067811865475,0.008796678364750612,0.006220190923632147,0.003869077512643574,-0.004870422397245597,0.6220190923632147
2421.742941949834,15216.259670625062,50.0,-62.675920953710005,80.17649947082813,-51.41872639566576,0.012472482667615659,0.7071067811865475,0.008819377072502712,0.006236241333807829,0.003889070597349325,-0.004875021626857281,0.6236241333807829
2431.0576907605114,15274.785963492379,50.0,-62.412408594950385,79.97067429141157,-51.300988550776516,0.012504583822264891,0.7071067811865475,0.008842076016639102,0.006252291911132445,0.00390911541420122,-0.004879546169518905,0.6252291911132445
2440.4082668854358,15333.537366014169,50.0,-62.1498160288325,79.7659052002654,-51.183057731748065,0.012536684658556008,0.7071067811865475,0.00886477473566231,0.006268342329278003,0.003929211555701839,-0.00488399550650464,0.6268342329278004
2449.7948081271898,15392.514744029591,50.0,-61.88813938544148,79.56218823405897,-51.06493488972968,0.012568784521840492,0.7071067811865475,0.008887472766665929,0.006284392260920244,0.003949358608911426,-0.0048883691214280725,0.6284392260920244
2459.2174528183864,15451.718966708093,50.0,-61.627374808360656,79.3595194401413,-50.94662098374181,0.012600882755524654,0.7071067811865475,0.00891016964536811,0.006300441377762325,0.003969556155461964,-0.004892666500309791,0.6300441377762327
2468.6763398237076,15511.1509065622,50.0,-61.3675184546148,79.1578948764903,-50.82811698062768,0.012632978701117499,0.7071067811865475,0.008932864906145406,0.0063164893505587485,0.003989803771572209,-0.004896887131644986,0.631648935055875
2478.1716085419503,15570.811439460384,50.0,-61.108566494613534,78.95731061166282,-50.70942385500365,0.012665071698279065,0.7071067811865475,0.00895555808206695,0.006332535849139531,0.004010101028063731,-0.004901030506471013,0.633253584913953
2487.7033989080805,15630.701444639968,50.0,-60.850515112094776,78.75776272474528,-50.5905425892083,0.012697161084869228,0.7071067811865475,0.00897824870492897,0.006348580542434612,0.004030447490377937,-0.004905096118434943,0.6348580542434615
